created_at,full_text,Sentiment,cleaning,case_folding,normalisasi,kata_baku,kata_tidak_baku,kata_tidak_baku_hash,tokenize,stopword_removal,stemming
Fri May 16 20:33:43 +0000 2025,@ApriliaLin Loe ngomong apa sih ? Maksa banget nasrasi loe. Kantor cabang Digital Voting Laboratorium. Bocil !,Negatif,Loe ngomong apa sih Maksa banget nasrasi loe Kantor cabang Digital Voting Laboratorium Bocil,loe ngomong apa sih maksa banget nasrasi loe kantor cabang digital voting laboratorium bocil,lo mengomong apa sih maksa banget nasrasi lo kantor cabang digital voting laboratorium bocil,"['lo', 'mengomong', 'lo']","['loe', 'ngomong', 'loe']","[3228361670468757807, -1242685555277814647, 3228361670468757807]","['lo', 'mengomong', 'apa', 'sih', 'maksa', 'banget', 'nasrasi', 'lo', 'kantor', 'cabang', 'digital', 'voting', 'laboratorium', 'bocil']",lo mengomong maksa banget nasrasi lo kantor cabang digital voting laboratorium bocil,lo omong maksa banget nasrasi lo kantor cabang digital voting laboratorium bocil
Sun Mar 13 01:35:24 +0000 2022,@SiwaTrinetra @ainunnajib memang ga simpel.. gw cuma setuju aja klo digitalisasi pemilu.. hanya di INDOMESIA aja petugas TPS ada yg mati KELELAHAN ga tau klo di negara lain..,Positif,memang ga simpel gw cuma setuju aja klo digitalisasi pemilu hanya di INDOMESIA aja petugas TPS ada yg mati KELELAHAN ga tau klo di negara lain,memang ga simpel gw cuma setuju aja klo digitalisasi pemilu hanya di indomesia aja petugas tps ada yg mati kelelahan ga tau klo di negara lain,memang tidak simpel gue cuma setuju saja kalau digitalisasi pemilu hanya di indomesia saja petugas tps ada yang mati kelelahan tidak tau kalau di negara lain,"['tidak', 'gue', 'saja', 'kalau', 'saja', 'yang', 'tidak', 'kalau']","['ga', 'gw', 'aja', 'klo', 'aja', 'yg', 'ga', 'klo']","[5723355088733332426, -3647722561726161511, 4947893755461839197, 7187231021383550789, 4947893755461839197, -4203579751553908046, 5723355088733332426, 7187231021383550789]","['memang', 'tidak', 'simpel', 'gue', 'cuma', 'setuju', 'saja', 'kalau', 'digitalisasi', 'pemilu', 'hanya', 'di', 'indomesia', 'saja', 'petugas', 'tps', 'ada', 'yang', 'mati', 'kelelahan', 'tidak', 'tau', 'kalau', 'di', 'negara', 'lain']",simpel setuju digitalisasi pemilu indomesia petugas tps mati kelelahan tau negara,simpel tuju digitalisasi pemilu indomesia tugas tps mati lelah tau negara
Sun Mar 13 00:13:55 +0000 2022,@yayankeloel @ainunnajib Tdk sesimpel itu. Digitalisasi pemilu itu luas bgt tp klo e-voting ga feasible (bnyk bgt alasannya) utamanya TRUST. Sistem penghitungan skrg dibangun jg udh bnyk pertimbangan &amp; tujuan.,Negatif,Tdk sesimpel itu Digitalisasi pemilu itu luas bgt tp klo e voting ga feasible bnyk bgt alasannya utamanya TRUST Sistem penghitungan skrg dibangun jg udh bnyk pertimbangan amp tujuan,tdk sesimpel itu digitalisasi pemilu itu luas bgt tp klo e voting ga feasible bnyk bgt alasannya utamanya trust sistem penghitungan skrg dibangun jg udh bnyk pertimbangan amp tujuan,tidak sesimpel itu digitalisasi pemilu itu luas banget tapi kalau e voting tidak feasible banyak banget alasannya utamanya trust sistem penghitungan sekarang dibangun juga sudah banyak pertimbangan amp tujuan,"['tidak', 'banget', 'tapi', 'kalau', 'tidak', 'banyak', 'banget', 'sekarang', 'juga', 'sudah', 'banyak']","['tdk', 'bgt', 'tp', 'klo', 'ga', 'bnyk', 'bgt', 'skrg', 'jg', 'udh', 'bnyk']","[9113061003278948107, 1138462550504344876, 7511649191942204706, 7187231021383550789, 5723355088733332426, -1108679690214343804, 1138462550504344876, 2391620460065178535, 6232830242450468535, 348838239698359712, -1108679690214343804]","['tidak', 'sesimpel', 'itu', 'digitalisasi', 'pemilu', 'itu', 'luas', 'banget', 'tapi', 'kalau', 'e', 'voting', 'tidak', 'feasible', 'banyak', 'banget', 'alasannya', 'utamanya', 'trust', 'sistem', 'penghitungan', 'sekarang', 'dibangun', 'juga', 'sudah', 'banyak', 'pertimbangan', 'amp', 'tujuan']",sesimpel digitalisasi pemilu luas banget e voting feasible banget alasannya utamanya trust sistem penghitungan dibangun pertimbangan amp tujuan,simpel digitalisasi pemilu luas banget e voting feasible banget alas utama trust sistem hitung bangun timbang amp tuju
Sat Mar 12 17:45:05 +0000 2022,@ainunnajib bener itu setuju aja klo digitalisasi pemilu.. ribet sm birokrasi penghitungan suara dan pemberkasan surat suara.. yg menderita petugas TPS nya.. ada yg mudah di bikin susah..,Positif,bener itu setuju aja klo digitalisasi pemilu ribet sm birokrasi penghitungan suara dan pemberkasan surat suara yg menderita petugas TPS nya ada yg mudah di bikin susah,bener itu setuju aja klo digitalisasi pemilu ribet sm birokrasi penghitungan suara dan pemberkasan surat suara yg menderita petugas tps nya ada yg mudah di bikin susah,benar itu setuju saja kalau digitalisasi pemilu ribet sama birokrasi penghitungan suara dan pemberkasan surat suara yang menderita petugas tps ya ada yang mudah di bikin susah,"['benar', 'saja', 'kalau', 'sama', 'yang', 'ya', 'yang']","['bener', 'aja', 'klo', 'sm', 'yg', 'nya', 'yg']","[8046815053335798492, 4947893755461839197, 7187231021383550789, -6697774277868825368, -4203579751553908046, 1299325212670585337, -4203579751553908046]","['benar', 'itu', 'setuju', 'saja', 'kalau', 'digitalisasi', 'pemilu', 'ribet', 'sama', 'birokrasi', 'penghitungan', 'suara', 'dan', 'pemberkasan', 'surat', 'suara', 'yang', 'menderita', 'petugas', 'tps', 'ya', 'ada', 'yang', 'mudah', 'di', 'bikin', 'susah']",setuju digitalisasi pemilu ribet birokrasi penghitungan suara pemberkasan surat suara menderita petugas tps mudah bikin susah,tuju digitalisasi pemilu ribet birokrasi hitung suara berkas surat suara derita tugas tps mudah bikin susah
Tue Mar 08 17:07:48 +0000 2022,mungkin salah satu alasan pemerintah nerbitin banyak kartu kartu dan bukan based on data kependudukan itu mungkin karena data kependudukan kita yg berantakan yg sulit dirapihkan apalagi digitalisasi karena terlalu banyak pihak yg bermain disana demi kepentingan PEMILU ,Positif,mungkin salah satu alasan pemerintah nerbitin banyak kartu kartu dan bukan based on data kependudukan itu mungkin karena data kependudukan kita yg berantakan yg sulit dirapihkan apalagi digitalisasi karena terlalu banyak pihak yg bermain disana demi kepentingan PEMILU,mungkin salah satu alasan pemerintah nerbitin banyak kartu kartu dan bukan based on data kependudukan itu mungkin karena data kependudukan kita yg berantakan yg sulit dirapihkan apalagi digitalisasi karena terlalu banyak pihak yg bermain disana demi kepentingan pemilu,mungkin salah satu alasan pemerintah nerbitin banyak kartu kartu dan bukan based on data kependudukan itu mungkin karena data kependudukan kita yang berantakan yang sulit dirapihkan apalagi digitalisasi karena terlalu banyak pihak yang bermain disana demi kepentingan pemilu,"['yang', 'yang', 'yang']","['yg', 'yg', 'yg']","[-4203579751553908046, -4203579751553908046, -4203579751553908046]","['mungkin', 'salah', 'satu', 'alasan', 'pemerintah', 'nerbitin', 'banyak', 'kartu', 'kartu', 'dan', 'bukan', 'based', 'on', 'data', 'kependudukan', 'itu', 'mungkin', 'karena', 'data', 'kependudukan', 'kita', 'yang', 'berantakan', 'yang', 'sulit', 'dirapihkan', 'apalagi', 'digitalisasi', 'karena', 'terlalu', 'banyak', 'pihak', 'yang', 'bermain', 'disana', 'demi', 'kepentingan', 'pemilu']",salah alasan pemerintah nerbitin kartu kartu based on data kependudukan data kependudukan berantakan sulit dirapihkan digitalisasi bermain disana kepentingan pemilu,salah alas perintah nerbitin kartu kartu based on data duduk data duduk beranta sulit dirapihkan digitalisasi main sana penting pemilu
Mon Sep 20 09:35:15 +0000 2021,pfft~ ngurusin digitalisasi online hal lainnya aja masih pada nggak becus ini lagi pengen coba2 pemilu online. yang ada malah di manipulasi hasilnya ntar,Negatif,pfft ngurusin digitalisasi online hal lainnya aja masih pada nggak becus ini lagi pengen coba pemilu online yang ada malah di manipulasi hasilnya ntar,pfft ngurusin digitalisasi online hal lainnya aja masih pada nggak becus ini lagi pengen coba pemilu online yang ada malah di manipulasi hasilnya ntar,pfft mengurusi digitalisasi online hal lainnya saja masih pada tidak becus ini lagi pengin coba pemilu online yang ada malah di manipulasi hasilnya entar,"['mengurusi', 'saja', 'tidak', 'pengin', 'entar']","['ngurusin', 'aja', 'nggak', 'pengen', 'ntar']","[1494744502929513211, 4947893755461839197, 8807731850440055750, -2963304355577721835, 8335314821438370262]","['pfft', 'mengurusi', 'digitalisasi', 'online', 'hal', 'lainnya', 'saja', 'masih', 'pada', 'tidak', 'becus', 'ini', 'lagi', 'pengin', 'coba', 'pemilu', 'online', 'yang', 'ada', 'malah', 'di', 'manipulasi', 'hasilnya', 'entar']",pfft mengurusi digitalisasi online becus pengin coba pemilu online manipulasi hasilnya,pfft urus digitalisasi online becus pengin coba pemilu online manipulasi hasil
Tue Sep 07 03:13:37 +0000 2021,digitalisasi pemilu merupakan keniscahyaan untuk meningkatkan kepercayaan publik,Negatif,digitalisasi pemilu merupakan keniscahyaan untuk meningkatkan kepercayaan publik,digitalisasi pemilu merupakan keniscahyaan untuk meningkatkan kepercayaan publik,digitalisasi pemilu merupakan keniscahyaan untuk meningkatkan kepercayaan publik,[],[],[],"['digitalisasi', 'pemilu', 'merupakan', 'keniscahyaan', 'untuk', 'meningkatkan', 'kepercayaan', 'publik']",digitalisasi pemilu keniscahyaan meningkatkan kepercayaan publik,digitalisasi pemilu keniscahyaan tingkat percaya publik
Sun Aug 15 08:22:48 +0000 2021,@ainunnajib 3 tahun waktu yang cukup buat digitalisasi KPU untuk bikin e-voting apalagi palapa ring sudah kelar last mile lagi dibangun. Pemilu 2004 aja bisa pake kirim rekap data pake modem satelit 2.4 kbps (yup it was the technology back then) buat yg area 3T.,Positif,tahun waktu yang cukup buat digitalisasi KPU untuk bikin e voting apalagi palapa ring sudah kelar last mile lagi dibangun Pemilu aja bisa pake kirim rekap data pake modem satelit kbps yup it was the technology back then buat yg area T,tahun waktu yang cukup buat digitalisasi kpu untuk bikin e voting apalagi palapa ring sudah kelar last mile lagi dibangun pemilu aja bisa pake kirim rekap data pake modem satelit kbps yup it was the technology back then buat yg area t,tahun waktu yang cukup buat digitalisasi kpu untuk bikin e voting apalagi palapa ring sudah kelar last mile lagi dibangun pemilu saja bisa pakai kirim rekap data pakai modem satelit kbps ya itu was the technology back then buat yang area t,"['saja', 'pakai', 'pakai', 'ya', 'itu', 'yang']","['aja', 'pake', 'pake', 'yup', 'it', 'yg']","[4947893755461839197, -1102286091675966727, -1102286091675966727, 5021610861643866805, -3599988801184413900, -4203579751553908046]","['tahun', 'waktu', 'yang', 'cukup', 'buat', 'digitalisasi', 'kpu', 'untuk', 'bikin', 'e', 'voting', 'apalagi', 'palapa', 'ring', 'sudah', 'kelar', 'last', 'mile', 'lagi', 'dibangun', 'pemilu', 'saja', 'bisa', 'pakai', 'kirim', 'rekap', 'data', 'pakai', 'modem', 'satelit', 'kbps', 'ya', 'itu', 'was', 'the', 'technology', 'back', 'then', 'buat', 'yang', 'area', 't']",digitalisasi kpu bikin e voting palapa ring kelar last mile dibangun pemilu pakai kirim rekap data pakai modem satelit kbps was technology back then area t,digitalisasi kpu bikin e voting palapa ring kelar last mile bangun pemilu pakai kirim rekap data pakai modem satelit kbps was technology back then area t
Mon May 05 03:30:08 +0000 2025,mungkin bro berfikir digitalisasi melalui AI. kan bro fufufafa gacor banget tuh pas pemilu ngomongin digitalisasii ‍,Negatif,mungkin bro berfikir digitalisasi melalui AI kan bro fufufafa gacor banget tuh pas pemilu ngomongin digitalisasii,mungkin bro berfikir digitalisasi melalui ai kan bro fufufafa gacor banget tuh pas pemilu ngomongin digitalisasii,mungkin bro berpikir digitalisasi melalui ai kan bro fufufafa gacor banget tuh pas pemilu mengomongkan digitalisasii,"['berpikir', 'mengomongkan']","['berfikir', 'ngomongin']","[-76763835778197783, 3620097832751980480]","['mungkin', 'bro', 'berpikir', 'digitalisasi', 'melalui', 'ai', 'kan', 'bro', 'fufufafa', 'gacor', 'banget', 'tuh', 'pas', 'pemilu', 'mengomongkan', 'digitalisasii']",bro berpikir digitalisasi ai bro fufufafa gacor banget tuh pas pemilu mengomongkan digitalisasii,bro pikir digitalisasi ai bro fufufafa gacor banget tuh pas pemilu omong digitalisasi
Fri Apr 25 13:42:57 +0000 2025,Di negara yang audit aja masih formalitas e-voting itu bukan solusi malah buka peluang manipulasi lebih halus. Tanpa jaminan infrastruktur transparan dan independen digitalisasi pemilu cuma ganti bentuk kecurangan bukan menghapusnya.,Negatif,Di negara yang audit aja masih formalitas e voting itu bukan solusi malah buka peluang manipulasi lebih halus Tanpa jaminan infrastruktur transparan dan independen digitalisasi pemilu cuma ganti bentuk kecurangan bukan menghapusnya,di negara yang audit aja masih formalitas e voting itu bukan solusi malah buka peluang manipulasi lebih halus tanpa jaminan infrastruktur transparan dan independen digitalisasi pemilu cuma ganti bentuk kecurangan bukan menghapusnya,di negara yang audit saja masih formalitas e voting itu bukan solusi malah buka peluang manipulasi lebih halus tanpa jaminan infrastruktur transparan dan independen digitalisasi pemilu cuma ganti bentuk kecurangan bukan menghapusnya,['saja'],['aja'],[4947893755461839197],"['di', 'negara', 'yang', 'audit', 'saja', 'masih', 'formalitas', 'e', 'voting', 'itu', 'bukan', 'solusi', 'malah', 'buka', 'peluang', 'manipulasi', 'lebih', 'halus', 'tanpa', 'jaminan', 'infrastruktur', 'transparan', 'dan', 'independen', 'digitalisasi', 'pemilu', 'cuma', 'ganti', 'bentuk', 'kecurangan', 'bukan', 'menghapusnya']",negara audit formalitas e voting solusi buka peluang manipulasi halus jaminan infrastruktur transparan independen digitalisasi pemilu ganti bentuk kecurangan menghapusnya,negara audit formalitas e voting solusi buka peluang manipulasi halus jamin infrastruktur transparan independen digitalisasi pemilu ganti bentuk curang hapus
Fri Apr 25 12:44:35 +0000 2025,Plot twist digitalisasi pemilu hasil ga transparan krn pengurangan kewenangan byk pihak dan dinilai ga butuh byk pengawasan manual. ntar tiba2 data masuk 100% dgn keakuratan 100% lgsg dari sistem. Selamat periode kedua awokwkwk https://t.co/HTfIrOy21M,Negatif,Plot twist digitalisasi pemilu hasil ga transparan krn pengurangan kewenangan byk pihak dan dinilai ga butuh byk pengawasan manual ntar tiba data masuk dgn keakuratan lgsg dari sistem Selamat periode kedua awokwkwk,plot twist digitalisasi pemilu hasil ga transparan krn pengurangan kewenangan byk pihak dan dinilai ga butuh byk pengawasan manual ntar tiba data masuk dgn keakuratan lgsg dari sistem selamat periode kedua awokwkwk,plot twist digitalisasi pemilu hasil tidak transparan karena pengurangan kewenangan banyak pihak dan dinilai tidak butuh banyak pengawasan manual entar tiba data masuk dengan keakuratan langsung dari sistem selamat periode kedua awokwkwk,"['tidak', 'karena', 'banyak', 'tidak', 'banyak', 'entar', 'dengan', 'langsung']","['ga', 'krn', 'byk', 'ga', 'byk', 'ntar', 'dgn', 'lgsg']","[5723355088733332426, -5130240207888102516, -1018999145290176953, 5723355088733332426, -1018999145290176953, 8335314821438370262, -4957075586747873495, 5866237872660524982]","['plot', 'twist', 'digitalisasi', 'pemilu', 'hasil', 'tidak', 'transparan', 'karena', 'pengurangan', 'kewenangan', 'banyak', 'pihak', 'dan', 'dinilai', 'tidak', 'butuh', 'banyak', 'pengawasan', 'manual', 'entar', 'tiba', 'data', 'masuk', 'dengan', 'keakuratan', 'langsung', 'dari', 'sistem', 'selamat', 'periode', 'kedua', 'awokwkwk']",plot twist digitalisasi pemilu hasil transparan pengurangan kewenangan dinilai butuh pengawasan manual data masuk keakuratan langsung sistem selamat periode awokwkwk,plot twist digitalisasi pemilu hasil transparan kurang wenang nilai butuh awas manual data masuk akurat langsung sistem selamat periode awokwkwk
